DATE,GAZP,SP500,BRENT,GOLD,COPPER,EURUSD,USDRUB
09/03/21,232.1,3875.44,67.3,1711.1,8851.58945,1.18969,74.1367
10/03/21,231.69,3898.81,68.18,1730.0,8887.965845,1.19242,73.48
11/03/21,232.47,3939.34,69.62,1716.8,9122.75894,1.19808,73.3044
12/03/21,233.8,3943.34,69.23,1725.8,9165.749225,1.19516,73.2461
15/03/21,237.79,3968.94,68.79,1732.0,9113.94042,1.19254,72.7404
16/03/21,234.02,3962.71,68.47,1734.7,8951.900115,1.19016,72.9299
17/03/21,229.9,3974.12,67.74,1747.4,9152.521445,1.19826,73.6611
18/03/21,224.35,3915.46,62.87,1730.6,8972.8441,1.19174,74.3209
19/03/21,225.4,3913.1,64.46,1743.9,9047.80152,1.1904,74.0959
22/03/21,221.88,3940.59,64.29,1734.7,9140.39598,1.1932,74.877
23/03/21,221.62,3910.52,60.38,1730.6,8879.147325,1.18396,76.325
24/03/21,223.65,3889.14,64.22,1734.4,8873.63575,1.18119,76.6455
25/03/21,224.84,3909.52,61.84,1723.2,8821.826945,1.17747,76.1447
26/03/21,227.3,3974.54,64.22,1731.6,8991.583455,1.17928,75.7547
29/03/21,228.74,3971.09,65.19,1705.2,8912.216775,1.1767,75.6751
30/03/21,225.93,3958.55,64.02,1679.6,8776.63203,1.17232,76.0007
31/03/21,227.24,3972.89,63.07,1713.6,8790.962125,1.17268,75.7061
01/04/21,226.94,4019.87,64.65,1730.3,8848.282505,1.17772,76.149
05/04/21,225.06,4077.91,62.3,1734.3,9129.37283,1.18167,76.4697
06/04/21,222.95,4073.94,62.65,1739.0,9050.00615,1.18736,77.108
07/04/21,224.51,4079.95,62.9,1739.1,8954.104745,1.18724,77.2081
08/04/21,224.3,4097.17,63.37,1753.6,9018.039015,1.19145,76.546
09/04/21,222.15,4128.8,63.05,1744.1,8917.72835,1.19008,77.3728
12/04/21,222.87,4127.99,63.2,1731.8,8857.101025,1.19118,77.3304
13/04/21,227.99,4141.59,63.96,1744.3,8901.193625,1.19537,75.9478
14/04/21,235.32,4124.66,66.28,1738.7,9066.540875,1.19828,75.868
15/04/21,234.63,4170.42,66.84,1763.9,9326.687215,1.19692,76.074
16/04/21,235.1,4185.47,66.72,1777.3,9183.386265,1.19823,75.765
19/04/21,231.17,4163.26,67.16,1773.4,9341.01731,1.20424,76.3104
20/04/21,230.0,4134.94,66.31,1782.6,9282.594615,1.20324,76.6439
21/04/21,230.84,4173.42,65.08,1793.5,9452.351125,1.20371,76.5981
22/04/21,230.93,4134.98,65.75,1786.2,9407.15621,1.20139,75.4966
23/04/21,232.62,4180.17,66.12,1776.7,9552.66179,1.20965,74.875
26/04/21,233.23,4187.62,65.17,1779.6,9798.478035,1.20795,75.0038
27/04/21,232.0,4186.72,66.09,1771.1,9894.37944,1.20891,74.8064
28/04/21,232.96,4183.18,66.52,1784.4,9921.937315,1.21347,74.3822
